districtid,overallid,dose1,dose2
AP_Anantapur,1,1349051,596616
AP_Chittoor,1,1535587,640524
AP_East Godavari,1,1887124,552172
AP_Guntur,1,1736256,591355
AP_Krishna,1,1731602,557064
AP_Kurnool,1,1221288,492121
AP_Prakasam,1,1210019,515654
AP_S.P.S. Nellore,1,1125871,528033
AP_Srikakulam,1,1002587,336259
AP_Visakhapatnam,1,1846944,622918
AP_Vizianagaram,1,906229,219675
AP_West Godavari,1,1622387,431859
AP_Y.S.R. Kadapa,1,1027687,394728
AR_Anjaw,1,10535,2549
AR_Changlang,1,74622,16906
AR_East Kameng,1,20161,6183
AR_East Siang,1,50402,16004
AR_Kamle,1,6031,1537
AR_Kra Daadi,1,5632,1741
AR_Kurung Kumey,1,8107,2847
AR_Lepa Rada,1,12354,4959
AR_Lohit,1,27352,6710
AR_Longding,1,17573,3204
AR_Lower Dibang Valley,1,29501,8102
AR_Lower Siang,1,15513,4567
AR_Lower Subansiri,1,24258,8072
AR_Namsai,1,57104,12607
AR_Pakke Kessang,1,7420,2984
AR_Papum Pare,1,55590,19452
AR_Papum Pare,1,55590,19452
AR_Shi Yomi,1,6494,2298
AR_Siang,1,13614,4273
AR_Tawang,1,26884,9166
AR_Tirap,1,28381,5633
AR_Upper Dibang Valley,1,3757,1234
AR_Upper Siang,1,16946,6264
AR_Upper Subansiri,1,22859,7267
AR_West Kameng,1,49200,13683
AR_West Siang,1,31641,12244
AS_Baksa,1,261768,43270
AS_Barpeta,1,499516,133227
AS_Biswanath,1,340078,50896
AS_Bongaigaon,1,267309,57011
AS_Cachar,1,481925,101033
AS_Charaideo,1,198431,31628
AS_Chirang,1,150119,32727
AS_Darrang,1,277530,57412
AS_Dhemaji,1,276131,56393
AS_Dhubri,1,325470,73673
AS_Dibrugarh,1,548136,138425
AS_Dima Hasao,1,80870,21550
AS_Goalpara,1,288506,53445
AS_Golaghat,1,485352,88664
AS_Hailakandi,1,232700,43885
AS_Hojai,1,304767,68769
AS_Jorhat,1,499049,100079
AS_Kamrup,1,602114,144157
AS_Kamrup Metropolitan,1,1009529,312303
AS_Karbi Anglong,1,147708,37250
AS_Karimganj,1,280815,60453
AS_Kokrajhar,1,257826,51094
AS_Lakhimpur,1,433058,71887
AS_Majuli,1,101004,28296
AS_Morigaon,1,350143,51108
AS_Nagaon,1,598487,132126
AS_Nalbari,1,263232,51269
AS_Sivasagar,1,345141,65459
AS_Sonitpur,1,564467,135528
AS_South Salmara Mankachar,1,146606,8487
AS_Tinsukia,1,397045,81804
AS_Udalguri,1,219605,44457
AS_West Karbi Anglong,1,73455,13119
BR_Araria,1,557915,103824
BR_Arwal,1,210179,28474
BR_Aurangabad1,1,532576,71360
BR_Banka,1,480806,77742
BR_Begusarai,1,702910,112529
BR_Bhagalpur,1,879261,170988
BR_Bhojpur,1,586187,99551
BR_Buxar,1,405243,75792
BR_Darbhanga,1,959951,185612
BR_East Champaran,1,1163093,207812
BR_Gaya,1,930919,202415
BR_Gopalganj,1,525774,84542
BR_Jamui,1,378379,59472
BR_Jehanabad,1,277086,53212
BR_Kaimur,1,336727,45740
BR_Katihar,1,613134,89975
BR_Khagaria,1,359741,56765
BR_Kishanganj,1,327606,50253
BR_Lakhisarai,1,217262,33930
BR_Madhepura,1,403887,70339
BR_Madhubani,1,934022,186666
BR_Munger,1,373994,64450
BR_Muzaffarpur,1,1046864,193496
BR_Nalanda,1,755179,169822
BR_Nawada,1,479168,84567
BR_Patna,1,2462740,855819
BR_Purnia,1,817303,163272
BR_Rohtas,1,661448,110046
BR_Saharsa,1,418538,77479
BR_Samastipur,1,945191,176116
BR_Saran,1,1015916,212980
BR_Sheikhpura,1,163669,29858
BR_Sheohar,1,166514,38021
BR_Sitamarhi,1,711255,121124
BR_Siwan,1,897095,181049
BR_Supaul,1,447013,78453
BR_Vaishali,1,771914,137158
BR_West Champaran,1,797983,98509
CH_Chandigarh,1,726867,244234
CT_Balod,1,331919,104496
CT_Baloda Bazar,1,336847,84674
CT_Balrampur2,1,189637,39957
CT_Bametara,1,172207,44761
CT_Bastar,1,261014,70838
CT_Bijapur,1,74922,28016
CT_Bilaspur1,1,560110,192235
CT_Dakshin Bastar Dantewada,1,106743,35215
CT_Dhamtari,1,304679,91368
CT_Durg,1,593807,258583
CT_Gariaband,1,161728,39237
CT_Janjgir Champa,1,439530,131712
CT_Jashpur,1,250767,65084
CT_Kabeerdham,1,248626,63222
CT_Kondagaon,1,164966,32720
CT_Korba,1,407348,123322
CT_Koriya,1,175685,47727
CT_Mahasamund,1,452937,144480
CT_Mungeli,1,191076,50046
CT_Narayanpur,1,33185,11991
CT_Raigarh,1,884136,270605
CT_Raipur,1,1127142,394961
CT_Rajnandgaon,1,668801,170960
CT_Sukma,1,102637,33216
CT_Surajpur,1,220919,49147
CT_Surguja,1,325862,101497
CT_Uttar Bastar Kanker,1,238519,72083
DL_New Delhi,1,8072826,3263034
DN_Dadra and Nagar Haveli,1,346814,41464
DN_Daman,1,210047,35244
DN_Diu,1,37459,13642
GA_North Goa,1,521158,158119
GA_South Goa,1,578380,171481
GJ_Ahmedabad,1,6399608,2035322
GJ_Ahmedabad,1,6399608,2035322
GJ_Amreli,1,597035,221915
GJ_Anand,1,919296,300551
GJ_Aravalli,1,471777,181254
GJ_Banaskantha,1,1316330,489197
GJ_Bharuch,1,806236,223145
GJ_Bhavnagar,1,643816,265420
GJ_Bhavnagar,1,643816,265420
GJ_Botad,1,292852,61961
GJ_Chhota Udaipur,1,416440,153733
GJ_Dahod,1,706676,355177
GJ_Dang,1,65643,17846
GJ_Devbhumi Dwarka,1,396490,136967
GJ_Gandhinagar,1,633828,202988
GJ_Gandhinagar,1,633828,202988
GJ_Gir Somnath,1,527318,145611
GJ_Jamnagar,1,664138,229290
GJ_Jamnagar,1,664138,229290
GJ_Junagadh,1,365630,137808
GJ_Junagadh,1,365630,137808
GJ_Kheda,1,863959,267484
GJ_Kutch,1,911079,265734
GJ_Mahisagar,1,426593,221624
GJ_Mehsana,1,947030,356885
GJ_Morbi,1,424884,103388
GJ_Narmada,1,284131,118086
GJ_Navsari,1,619469,229345
GJ_Panchmahal,1,658152,223002
GJ_Patan,1,553477,182788
GJ_Porbandar,1,312545,129120
GJ_Rajkot,1,1840726,654596
GJ_Rajkot,1,1840726,654596
GJ_Sabarkantha,1,678120,215686
GJ_Surat,1,4894172,1565096
GJ_Surat,1,4894172,1565096
GJ_Surendranagar,1,738751,134571
GJ_Tapi,1,349777,107999
GJ_Vadodara,1,2453350,900544
GJ_Vadodara,1,2453350,900544
GJ_Valsad,1,741907,269206
HP_Bilaspur2,1,286158,100084
HP_Chamba,1,299484,82398
HP_Hamirpur1,1,353727,134409
HP_Kangra,1,1049565,332518
HP_Kinnaur,1,72170,22903
HP_Kullu,1,290649,87337
HP_Lahaul and Spiti,1,26539,8595
HP_Mandi,1,674658,233544
HP_Shimla,1,548881,189175
HP_Sirmaur,1,321881,74356
HP_Solan,1,558252,120780
HP_Una,1,392082,127147
HR_Ambala,1,639607,256629
HR_Bhiwani,1,414974,103054
HR_Charkhi Dadri,1,305252,88366
HR_Faridabad,1,1019121,311080
HR_Fatehabad,1,321956,82393
HR_Gurugram,1,1512341,517662
HR_Hisar,1,491583,120255
HR_Jhajjar,1,384167,107813
HR_Jind,1,333517,81282
HR_Kaithal,1,329385,81819
HR_Karnal,1,538262,192220
HR_Kurukshetra,1,343003,106861
HR_Mahendragarh,1,356406,106498
HR_Nuh,1,151420,24748
HR_Palwal,1,344642,73996
HR_Panchkula,1,331992,126331
HR_Panipat,1,353993,111897
HR_Rewari,1,350806,126591
HR_Rohtak,1,376842,116915
HR_Sirsa,1,431503,122678
HR_Sonipat,1,566382,191310
HR_Yamunanagar,1,417263,140517
JH_Bokaro,1,453901,144263
JH_Chatra,1,259020,44673
JH_Deoghar,1,376001,78189
JH_Dhanbad,1,584202,202378
JH_Dumka,1,353204,71955
JH_East Singhbhum,1,759386,271408
JH_Garhwa,1,284231,59726
JH_Giridih,1,564389,97905
JH_Godda,1,374642,65002
JH_Gumla,1,271631,61893
JH_Hazaribagh,1,486885,113049
JH_Jamtara,1,235353,51914
JH_Khunti,1,147806,44936
JH_Koderma,1,260206,49538
JH_Latehar,1,164272,34215
JH_Lohardaga,1,133715,27899
JH_Pakur,1,231161,39617
JH_Palamu,1,499936,110589
JH_Ramgarh,1,266527,71469
JH_Ranchi,1,803335,263288
JH_Sahibganj,1,257979,43461
JH_Simdega,1,192763,34040
JH_West Singhbhum,1,363668,83728
JK_Anantnag,1,366902,96849
JK_Bandipora,1,146156,39998
JK_Baramulla,1,408275,118360
JK_Budgam,1,296993,97787
JK_Doda,1,197388,43010
JK_Ganderbal,1,135088,42584
JK_Jammu,1,687739,325658
JK_Kathua,1,300009,82208
JK_Kishtwar,1,102159,29935
JK_Kulgam,1,208673,60749
JK_Kupwara,1,354258,61609
JK_Pulwama,1,243182,70630
JK_Punch,1,249816,45015
JK_Rajouri,1,305683,58483
JK_Ramban,1,161774,48407
JK_Reasi,1,179138,37335
JK_Samba,1,188507,64134
JK_Shopiyan,1,117633,42375
JK_Srinagar,1,476718,128434
JK_Udhampur,1,301843,79150
KA_Bagalkote,1,658898,185496
KA_Ballari,1,957942,282811
KA_Belagavi,1,1577781,441241
KA_Bengaluru Rural,1,436328,118346
KA_Bengaluru Urban,1,12368824,3663404
KA_Bengaluru Urban,1,12368824,3663404
KA_Bidar,1,600279,151287
KA_Chamarajanagara,1,396545,109583
KA_Chikkaballapura,1,503571,155959
KA_Chikkamagaluru,1,382103,166404
KA_Chitradurga,1,612685,212319
KA_Dakshina Kannada,1,964640,312039
KA_Davanagere,1,605467,154013
KA_Dharwad,1,715036,202268
KA_Gadag,1,365476,124220
KA_Hassan,1,673682,228657
KA_Haveri,1,460819,116038
KA_Kalaburagi,1,735661,184076
KA_Kodagu,1,235589,88071
KA_Kolar,1,674971,160867
KA_Koppal,1,478515,137203
KA_Mandya,1,729915,211163
KA_Mysuru,1,1411220,503350
KA_Raichur,1,562829,143759
KA_Ramanagara,1,477093,183849
KA_Shivamogga,1,642578,212328
KA_Tumakuru,1,999822,275555
KA_Udupi,1,583447,220649
KA_Uttara Kannada,1,553925,196730
KA_Vijayapura,1,713858,179674
KA_Yadgir,1,358307,122734
KL_Alappuzha,1,1010437,448687
KL_Ernakulam,1,2164619,745275
KL_Idukki,1,614829,216039
KL_Kannur,1,1205550,504665
KL_Kasaragod,1,635339,281642
KL_Kollam,1,1297361,505635
KL_Kottayam,1,1040211,419359
KL_Kozhikode,1,1477824,585899
KL_Malappuram,1,1371205,561718
KL_Palakkad,1,1186118,421074
KL_Pathanamthitta,1,863038,382059
KL_Thiruvananthapuram,1,1912183,743860
KL_Thrissur,1,1569931,631094
KL_Wayanad,1,592639,210762
LA_Kargil,1,81672,29998
LA_Leh,1,105032,42756
LD_Lakshadweep,1,50103,17875
MH_Ahmednagar,1,988066,398032
MH_Akola,1,422677,167155
MH_Amravati,1,676413,251834
MH_Aurangabad2,1,980912,333225
MH_Beed,1,602838,190610
MH_Bhandara,1,458838,153751
MH_Buldhana,1,649495,229351
MH_Chandrapur,1,566464,169035
MH_Dhule,1,525191,169077
MH_Gadchiroli,1,278137,69355
MH_Gondia,1,548561,144079
MH_Hingoli,1,239878,58953
MH_Jalgaon,1,818464,271787
MH_Jalna,1,514683,157856
MH_Kolhapur,1,1260371,700029
MH_Latur,1,605352,203038
MH_Mumbai,1,6055422,2075553
MH_Nagpur,1,1944382,698550
MH_Nanded,1,667127,225270
MH_Nandurbar,1,418448,108498
MH_Nashik,1,1524849,548271
MH_Osmanabad,1,365214,125176
MH_Palghar,1,584792,216487
MH_Parbhani,1,444021,147665
MH_Pune,1,5037448,1772837
MH_Raigad,1,742405,245865
MH_Ratnagiri,1,409667,136049
MH_Sangli,1,1005450,429256
MH_Satara,1,1002075,440651
MH_Sindhudurg,1,285823,107470
MH_Solapur,1,799124,301349
MH_Thane,1,2835215,1064471
MH_Wardha,1,430182,143955
MH_Washim,1,382895,142455
MH_Yavatmal,1,659334,216527
ML_East Garo Hills,1,38135,10335
ML_East Jaintia Hills,1,53099,13228
ML_East Khasi Hills,1,284095,84446
ML_North Garo Hills,1,50822,11143
ML_Ribhoi,1,79010,17153
ML_South Garo Hills,1,30826,9316
ML_South West Garo Hills,1,61785,15253
ML_South West Khasi Hills,1,30209,6384
ML_West Garo Hills,1,186493,46616
ML_West Jaintia Hills,1,74938,21430
ML_West Khasi Hills,1,66482,21964
MN_Bishnupur,1,121166,21518
MN_Chandel,1,23949,7736
MN_Churachandpur,1,96425,23909
MN_Imphal East,1,235454,60824
MN_Imphal West,1,284864,69347
MN_Jiribam,1,24784,3777
MN_Kakching,1,76297,15197
MN_Kamjong,1,9440,1689
MN_Kangpokpi,1,35610,7067
MN_Noney,1,15708,4369
MN_Pherzawl,1,10244,3232
MN_Senapati,1,24770,4958
MN_Tamenglong,1,18073,4930
MN_Tengnoupal,1,23007,5073
MN_Thoubal,1,134340,26854
MN_Ukhrul,1,18471,5701
MP_Agar Malwa,1,263985,36014
MP_Alirajpur,1,236571,31867
MP_Anuppur,1,298599,43838
MP_Ashoknagar,1,328575,54473
MP_Balaghat,1,667392,117674
MP_Barwani,1,451914,62901
MP_Betul,1,660720,133950
MP_Bhind,1,596751,94150
MP_Bhopal,1,1577274,466679
MP_Burhanpur,1,325558,81501
MP_Chhatarpur,1,628924,97115
MP_Chhindwara,1,808938,155235
MP_Damoh,1,516569,71381
MP_Datia,1,346468,56033
MP_Dewas,1,673597,118989
MP_Dhar,1,771576,133943
MP_Dindori,1,301410,44343
MP_Guna,1,481026,74216
MP_Gwalior,1,1008855,254217
MP_Harda,1,337555,55710
MP_Hoshangabad,1,522820,113248
MP_Indore,1,2562732,711027
MP_Jabalpur,1,1279328,341432
MP_Jhabua,1,331966,51907
MP_Katni,1,482746,79883
MP_Khandwa,1,564375,93789
MP_Khargone,1,682078,111344
MP_Mandla,1,369494,55832
MP_Mandsaur,1,530329,90807
MP_Morena,1,683918,110700
MP_Narsinghpur,1,478769,87271
MP_Neemuch,1,382343,80126
MP_Panna,1,384574,39235
MP_Raisen,1,534842,81874
MP_Rajgarh,1,681638,101736
MP_Ratlam,1,625837,121833
MP_Rewa,1,847038,168522
MP_Sagar,1,1038154,230178
MP_Satna,1,725580,142797
MP_Sehore,1,685444,133683
MP_Seoni,1,537052,94796
MP_Shahdol,1,500868,77403
MP_Shajapur,1,408652,76695
MP_Sheopur,1,193788,28011
MP_Shivpuri,1,570621,80650
MP_Sidhi,1,386236,47455
MP_Singrauli,1,402280,58771
MP_Tikamgarh,1,537704,94769
MP_Ujjain,1,1095101,267505
MP_Umaria,1,245954,34650
MP_Vidisha,1,561653,101467
MZ_Aizawl,1,243600,81102
MZ_Aizawl,1,243600,81102
MZ_Champhai,1,68627,25156
MZ_Kolasib,1,44207,14153
MZ_Lawngtlai,1,39235,10188
MZ_Lunglei,1,85878,30706
MZ_Mamit,1,41357,12962
MZ_Saiha,1,32443,8023
MZ_Serchhip,1,39662,14893
NL_Dimapur,1,228644,48778
NL_Kiphire,1,11988,3552
NL_Kohima,1,95052,24945
NL_Longleng,1,19689,6045
NL_Mokokchung,1,63724,21730
NL_Mon,1,63618,18142
NL_Peren,1,17172,5597
NL_Phek,1,28736,9612
NL_Tuensang,1,34218,9451
NL_Wokha,1,32170,12015
NL_Zunheboto,1,35193,7950
OR_Angul,1,365850,82830
OR_Balangir,1,530200,93135
OR_Balasore,1,678025,264589
OR_Bargarh,1,417725,109536
OR_Bhadrak,1,535406,125676
OR_Boudh,1,129756,28351
OR_Cuttack,1,903857,284638
OR_Deogarh,1,113768,22971
OR_Dhenkanal,1,410292,93532
OR_Gajapati,1,189511,43736
OR_Ganjam,1,1488175,468809
OR_Jagatsinghpur,1,316368,119052
OR_Jajpur,1,530069,149573
OR_Jharsuguda,1,247793,56059
OR_Kalahandi,1,451511,123538
OR_Kandhamal,1,219451,56560
OR_Kendrapara,1,482524,133965
OR_Kendujhar,1,552275,122055
OR_Khordha,1,1458351,1010750
OR_Koraput,1,506098,122769
OR_Malkangiri,1,171105,36420
OR_Mayurbhanj,1,640447,161227
OR_Nabarangapur,1,331026,58839
OR_Nayagarh,1,314990,83092
OR_Nuapada,1,265830,43368
OR_Puri,1,655474,166003
OR_Rayagada,1,319872,69022
OR_Sambalpur,1,518508,111778
OR_Subarnapur,1,235437,50193
OR_Sundargarh,1,669287,182855
PB_Amritsar,1,610597,189900
PB_Barnala,1,137779,36141
PB_Bathinda,1,296177,86420
PB_Faridkot,1,165367,55430
PB_Fatehgarh Sahib,1,192001,40954
PB_Fazilka,1,197038,48339
PB_Ferozepur,1,179745,46378
PB_Gurdaspur,1,518307,187547
PB_Hoshiarpur,1,721845,235989
PB_Jalandhar,1,803482,285611
PB_Kapurthala,1,230563,78776
PB_Ludhiana,1,1186897,385499
PB_Mansa,1,134092,30975
PB_Moga,1,236362,54241
PB_Pathankot,1,272109,87770
PB_Patiala,1,563843,159553
PB_Rupnagar,1,221151,50352
PB_S.A.S. Nagar,1,635683,195695
PB_Sangrur,1,297175,80367
PB_Shahid Bhagat Singh Nagar,1,210946,68475
PB_Sri Muktsar Sahib,1,249081,54256
PB_Tarn Taran,1,253791,59903
PY_Karaikal,1,95677,19465
PY_Mahe,1,30362,13090
PY_Puducherry,1,458557,119485
RJ_Ajmer,1,1235005,417164
RJ_Alwar,1,1439740,530526
RJ_Banswara,1,709704,194414
RJ_Baran,1,476666,127621
RJ_Barmer,1,980728,289458
RJ_Bharatpur,1,953432,244845
RJ_Bhilwara,1,938702,282707
RJ_Bikaner,1,981298,355014
RJ_Bundi,1,479939,160437
RJ_Chittorgarh,1,628469,186085
RJ_Churu,1,808144,246032
RJ_Dausa,1,672854,142232
RJ_Dholpur,1,479508,122868
RJ_Dungarpur,1,528669,138927
RJ_Ganganagar,1,723870,266998
RJ_Hanumangarh,1,708699,213975
RJ_Jaipur,1,2363754,844604
RJ_Jaipur,1,2363754,844604
RJ_Jaisalmer,1,273078,80076
RJ_Jalore,1,706241,175918
RJ_Jhalawar,1,599730,140399
RJ_Jhunjhunu,1,937563,347869
RJ_Jodhpur,1,1502711,560446
RJ_Karauli,1,579854,142698
RJ_Kota,1,868509,325307
RJ_Nagaur,1,1345566,558048
RJ_Pali,1,783484,258411
RJ_Pratapgarh2,1,375617,79262
RJ_Rajsamand,1,467189,114933
RJ_Sawai Madhopur,1,532171,140678
RJ_Sikar,1,1162574,444674
RJ_Sirohi,1,422557,141766
RJ_Tonk,1,605020,169068
RJ_Udaipur,1,1155374,370381
SK_Sikkim,1,492787,158042
TG_Adilabad,1,98989,34384
TG_Bhadradri Kothagudem,1,262430,80798
TG_Hyderabad,1,2506801,906134
TG_Jagtial,1,207649,93329
TG_Jangaon,1,103548,43527
TG_Jayashankar Bhupalapally,1,138599,41869
TG_Jogulamba Gadwal,1,79784,26349
TG_Kamareddy,1,218945,92712
TG_Karimnagar,1,390602,163763
TG_Khammam,1,414144,104951
TG_Komaram Bheem,1,68655,23196
TG_Mahabubabad,1,183359,65953
TG_Mahabubnagar,1,157361,63962
TG_Mancherial,1,207678,64663
TG_Medak,1,173555,57552
TG_Medchal Malkajgiri,1,1557584,534471
TG_Mulugu,1,94142,29563
TG_Nagarkurnool,1,141942,53187
TG_Nalgonda,1,332474,80796
TG_Narayanpet,1,60917,16917
TG_Nirmal,1,164450,81468
TG_Nizamabad,1,299820,118363
TG_Peddapalli,1,280918,76008
TG_Rajanna Sircilla,1,153585,68529
TG_Ranga Reddy,1,1598625,538104
TG_Sangareddy,1,349570,116743
TG_Siddipet,1,295597,118725
TG_Suryapet,1,251842,78930
TG_Vikarabad,1,119147,41313
TG_Wanaparthy,1,89054,33945
TG_Warangal Rural,1,139775,34267
TG_Warangal Urban,1,473778,138279
TG_Yadadri Bhuvanagiri,1,248169,127027
TN_Ariyalur,1,182794,34463
TN_Chennai,1,3164682,1191271
TN_Coimbatore,1,1550701,367458
TN_Cuddalore,1,574152,114888
TN_Dharmapuri,1,413008,68629
TN_Dindigul,1,505568,96966
TN_Dindigul,1,505568,96966
TN_Erode,1,713956,129128
TN_Kallakurichi,1,310246,45270
TN_Kancheepuram,1,303185,46850
TN_Kanyakumari,1,547597,116008
TN_Karur,1,305223,54066
TN_Krishnagiri,1,589984,108511
TN_Madurai,1,776283,188781
TN_Nagapattinam,1,398292,58989
TN_Namakkal,1,538958,118094
TN_Nilgiris,1,387555,103207
TN_Perambalur,1,171337,31269
TN_Pudukkottai,1,474158,76468
TN_Pudukkottai,1,474158,76468
TN_Ramanathapuram,1,394652,60654
TN_Ramanathapuram,1,394652,60654
TN_Ranipet,1,251266,44534
TN_Salem,1,1449200,326430
TN_Salem,1,1449200,326430
TN_Sivaganga,1,357728,56964
TN_Thanjavur,1,583468,102770
TN_Theni,1,319823,52520
TN_Thiruvallur,1,995882,227160
TN_Thiruvallur,1,995882,227160
TN_Thiruvarur,1,328472,45508
TN_Thoothukkudi,1,465636,89416
TN_Thoothukkudi,1,465636,89416
TN_Tiruchirappalli,1,786310,180654
TN_Tirunelveli,1,371275,72045
TN_Tiruppur,1,746431,131504
TN_Tiruvannamalai,1,727120,93594
TN_Tiruvannamalai,1,727120,93594
TN_Vellore,1,396440,120977
TN_Viluppuram,1,430728,70400
TN_Virudhunagar,1,516474,132524
TN_Virudhunagar,1,516474,132524
TR_Dhalai,1,242949,63601
TR_Gomati,1,264713,77477
TR_Khowai,1,184488,58649
TR_North Tripura,1,268738,88752
TR_Sipahijala,1,317223,104520
TR_South Tripura,1,290167,101798
TR_Unokoti,1,165882,48192
TR_West Tripura,1,638012,283463
UP_Agra,1,1148504,229477
UP_Aligarh,1,767191,155306
UP_Ambedkar Nagar,1,492230,80417
UP_Amethi,1,466754,98128
UP_Amroha,1,385636,68078
UP_Auraiya,1,296094,51155
UP_Ayodhya,1,546277,109689
UP_Azamgarh,1,1014193,161205
UP_Baghpat,1,464380,88644
UP_Bahraich,1,926924,129849
UP_Ballia,1,525282,117643
UP_Balrampur1,1,538137,110111
UP_Banda,1,408730,50832
UP_Barabanki,1,741947,99340
UP_Bareilly,1,1046543,224470
UP_Basti,1,653859,101155
UP_Bhadohi,1,377239,64798
UP_Bijnor,1,849029,152813
UP_Budaun,1,523826,96669
UP_Bulandshahr,1,1008365,166047
UP_Chandauli,1,409534,60592
UP_Chitrakoot,1,257090,24323
UP_Deoria,1,617664,134678
UP_Etah,1,340259,53243
UP_Etawah,1,354065,63649
UP_Farrukhabad,1,373243,65981
UP_Fatehpur,1,568854,99203
UP_Firozabad,1,532415,87123
UP_Gautam Buddha Nagar,1,1413784,360371
UP_Ghaziabad,1,1346375,317817
UP_Ghazipur,1,831003,115732
UP_Gonda,1,983531,129900
UP_Gorakhpur,1,1217881,255319
UP_Hamirpur2,1,309045,49132
UP_Hapur,1,354295,71825
UP_Hardoi,1,822873,103318
UP_Hathras,1,380286,68402
UP_Jalaun,1,416322,66235
UP_Jaunpur,1,944375,183525
UP_Jhansi,1,548970,118657
UP_Kannauj,1,377639,41133
UP_Kanpur Dehat,1,385959,58767
UP_Kanpur Nagar,1,1112333,290306
UP_Kasganj,1,281208,43001
UP_Kaushambi,1,291067,53955
UP_Kushinagar,1,686411,138961
UP_Lakhimpur Kheri,1,724302,95696
UP_Lalitpur,1,285392,34355
UP_Lucknow,1,1673107,547681
UP_Maharajganj,1,521818,96850
UP_Mahoba,1,300182,48475
UP_Mainpuri,1,364571,57213
UP_Mathura,1,699661,144991
UP_Mau,1,425021,91187
UP_Meerut,1,1178808,315643
UP_Mirzapur,1,689543,105939
UP_Moradabad,1,658723,152807
UP_Muzaffarnagar,1,688930,124525
UP_Pilibhit,1,464095,88132
UP_Pratapgarh1,1,560687,105818
UP_Prayagraj,1,1126235,278520
UP_Rae Bareli,1,487259,80795
UP_Rampur,1,392359,79192
UP_Saharanpur,1,926845,195244
UP_Sambhal,1,373175,63839
UP_Sant Kabir Nagar,1,304996,53826
UP_Shahjahanpur,1,597880,104845
UP_Shamli,1,315115,64825
UP_Shrawasti,1,318192,35360
UP_Siddharthnagar,1,712147,102565
UP_Sitapur,1,754595,120138
UP_Sonbhadra,1,335904,75325
UP_Sultanpur,1,488548,106540
UP_Unnao,1,591754,110730
UP_Varanasi,1,1086313,288111
UT_Almora,1,312617,116868
UT_Bageshwar,1,173240,58519
UT_Chamoli,1,233810,86546
UT_Champawat,1,164152,55175
UT_Dehradun,1,1042831,399123
UT_Haridwar,1,880221,219799
UT_Nainital,1,548035,181532
UT_Pauri Garhwal,1,323176,125272
UT_Pithoragarh,1,242502,78582
UT_Rudraprayag,1,160151,46684
UT_Tehri Garhwal,1,301120,101122
UT_Udham Singh Nagar,1,795980,180590
UT_Uttarkashi,1,206446,72232
WB_Alipurduar,1,401858,159489
WB_Bankura,1,524522,174302
WB_Bankura,1,524522,174302
WB_Birbhum,1,755894,257688
WB_Birbhum,1,755894,257688
WB_Cooch Behar,1,483123,210246
WB_Dakshin Dinajpur,1,385254,179652
WB_Darjeeling,1,748295,268759
WB_Hooghly,1,1411282,641359
WB_Howrah,1,1285419,459333
WB_Jalpaiguri,1,492499,153667
WB_Jhargram,1,244253,71138
WB_Kalimpong,1,145440,55789
WB_Kolkata,1,3722963,1359776
WB_Malda,1,693375,268876
WB_Murshidabad,1,1146919,494005
WB_Nadia,1,970560,426233
WB_North 24 Parganas,1,5265390,1618204
WB_North 24 Parganas,1,5265390,1618204
WB_Paschim Bardhaman,1,772133,258180
WB_Paschim Medinipur,1,925330,379990
WB_Purba Bardhaman,1,915702,457682
WB_Purba Medinipur,1,1726518,735012
WB_Purba Medinipur,1,1726518,735012
WB_Purulia,1,563284,206541
WB_South 24 Parganas,1,2534896,949880
WB_South 24 Parganas,1,2534896,949880
WB_Uttar Dinajpur,1,530921,173055
