stateid,monthid,dose1,dose2
AP,1,0,0
AP,2,0,0
AP,3,0,0
AP,4,0,0
AP,5,0,0
AP,6,0,0
AP,7,0,0
AP,8,0,0
AP,9,0,0
AP,10,0,0
AP,11,0,0
AP,12,535907,231135
AP,13,3124117,347854
AP,14,1501111,1511119
AP,15,4208807,539594
AP,16,4507661,1213042
AP,17,4325029,2636234
AR,1,0,0
AR,2,0,0
AR,3,0,0
AR,4,0,0
AR,5,0,0
AR,6,0,0
AR,7,0,0
AR,8,0,0
AR,9,0,0
AR,10,0,0
AR,11,0,0
AR,12,33771,11563
AR,13,73671,21020
AR,14,79330,41608
AR,15,101351,1404
AR,16,252882,40541
AR,17,80926,64350
AS,1,0,0
AS,2,0,0
AS,3,0,0
AS,4,0,0
AS,5,0,0
AS,6,0,0
AS,7,0,0
AS,8,0,0
AS,9,0,0
AS,10,0,0
AS,11,0,0
AS,12,348789,81914
AS,13,806069,193006
AS,14,1301523,450517
AS,15,1358144,226842
AS,16,3105574,477937
AS,17,4387793,1010668
BR,1,0,0
BR,2,0,0
BR,3,0,0
BR,4,0,0
BR,5,0,0
BR,6,0,0
BR,7,0,0
BR,8,0,0
BR,9,0,0
BR,10,0,0
BR,11,0,0
BR,12,623967,293370
BR,13,3531752,323566
BR,14,2429528,1058089
BR,15,3170701,247486
BR,16,6268222,902798
BR,17,8690272,2033903
CH,1,0,0
CH,2,0,0
CH,3,0,0
CH,4,0,0
CH,5,0,0
CH,6,0,0
CH,7,0,0
CH,8,0,0
CH,9,0,0
CH,10,0,0
CH,11,0,0
CH,12,31697,5656
CH,13,70394,15804
CH,14,97769,50550
CH,15,129710,3766
CH,16,184220,50248
CH,17,213077,118210
CT,1,0,0
CT,2,0,0
CT,3,0,0
CT,4,0,0
CT,5,0,0
CT,6,0,0
CT,7,0,0
CT,8,0,0
CT,9,0,0
CT,10,0,0
CT,11,0,0
CT,12,453217,190068
CT,13,3436941,252981
CT,14,840855,598673
CT,15,126810,112717
CT,16,2546674,717330
CT,17,1621252,880384
DL,1,0,0
DL,2,0,0
DL,3,0,0
DL,4,0,0
DL,5,0,0
DL,6,0,0
DL,7,0,0
DL,8,0,0
DL,9,0,0
DL,10,0,0
DL,11,0,0
DL,12,320119,118839
DL,13,1472979,284907
DL,14,1410375,603230
DL,15,1308922,455142
DL,16,2311893,687169
DL,17,1248538,1113747
DN,1,0,0
DN,2,0,0
DN,3,0,0
DN,4,0,0
DN,5,0,0
DN,6,0,0
DN,7,0,0
DN,8,0,0
DN,9,0,0
DN,10,0,0
DN,11,0,0
DN,12,10272,3171
DN,13,53527,6759
DN,14,20697,14769
DN,15,157228,1645
DN,16,247439,37276
DN,17,105157,26730
GA,1,0,0
GA,2,0,0
GA,3,0,0
GA,4,0,0
GA,5,0,0
GA,6,0,0
GA,7,0,0
GA,8,0,0
GA,9,0,0
GA,10,0,0
GA,11,0,0
GA,12,42529,11400
GA,13,111637,23973
GA,14,165547,56849
GA,15,226676,5992
GA,16,395037,91750
GA,17,158112,139636
GJ,1,0,0
GJ,2,0,0
GJ,3,0,0
GJ,4,0,0
GJ,5,0,0
GJ,6,0,0
GJ,7,0,0
GJ,8,0,0
GJ,9,0,0
GJ,10,0,0
GJ,11,0,0
GJ,12,1307421,550227
GJ,13,7369892,841469
GJ,14,3066610,2955900
GJ,15,6376183,820699
GJ,16,6353347,2309002
GJ,17,8447782,3626042
HP,1,0,0
HP,2,0,0
HP,3,0,0
HP,4,0,0
HP,5,0,0
HP,6,0,0
HP,7,0,0
HP,8,0,0
HP,9,0,0
HP,10,0,0
HP,11,0,0
HP,12,90811,62871
HP,13,872123,54881
HP,14,727582,305945
HP,15,411542,11840
HP,16,1313152,519336
HP,17,1458836,558373
HR,1,0,0
HR,2,0,0
HR,3,0,0
HR,4,0,0
HR,5,0,0
HR,6,0,0
HR,7,0,0
HR,8,0,0
HR,9,0,0
HR,10,0,0
HR,11,0,0
HR,12,194033,102275
HR,13,2172518,157879
HR,14,1387228,641485
HR,15,1865921,175245
HR,16,2527260,785815
HR,17,2167457,1328216
JH,1,0,0
JH,2,0,0
JH,3,0,0
JH,4,0,0
JH,5,0,0
JH,6,0,0
JH,7,0,0
JH,8,0,0
JH,9,0,0
JH,10,0,0
JH,11,0,0
JH,12,256157,138839
JH,13,1754463,165178
JH,14,522010,327338
JH,15,1510074,154842
JH,16,2141547,554631
JH,17,2139962,724307
JK,1,0,0
JK,2,0,0
JK,3,0,0
JK,4,0,0
JK,5,0,0
JK,6,0,0
JK,7,0,0
JK,8,0,0
JK,9,0,0
JK,10,0,0
JK,11,0,0
JK,12,244936,55828
JK,13,882611,150249
JK,14,1055593,320831
JK,15,842701,58047
JK,16,1267654,290166
JK,17,1134439,697589
KA,1,0,0
KA,2,0,0
KA,3,0,0
KA,4,0,0
KA,5,0,0
KA,6,0,0
KA,7,0,0
KA,8,0,0
KA,9,0,0
KA,10,0,0
KA,11,0,0
KA,12,671044,372519
KA,13,5668978,351959
KA,14,3363299,2134461
KA,15,7005068,740664
KA,16,8687653,2423091
KA,17,6041764,3421399
KL,1,0,0
KL,2,0,0
KL,3,0,0
KL,4,0,0
KL,5,0,0
KL,6,0,0
KL,7,0,0
KL,8,0,0
KL,9,0,0
KL,10,0,0
KL,11,0,0
KL,12,705238,280363
KL,13,3684528,276905
KL,14,1560330,1412145
KL,15,2863450,298606
KL,16,2633925,2150319
KL,17,5493813,2239430
LA,1,0,0
LA,2,0,0
LA,3,0,0
LA,4,0,0
LA,5,0,0
LA,6,0,0
LA,7,0,0
LA,8,0,0
LA,9,0,0
LA,10,0,0
LA,11,0,0
LA,12,28476,2835
LA,13,35506,6186
LA,14,18875,28020
LA,15,69319,281
LA,16,29343,24324
LA,17,5185,11108
LD,1,0,0
LD,2,0,0
LD,3,0,0
LD,4,0,0
LD,5,0,0
LD,6,0,0
LD,7,0,0
LD,8,0,0
LD,9,0,0
LD,10,0,0
LD,11,0,0
LD,12,1443,888
LD,13,9452,1917
LD,14,8970,3996
LD,15,19143,293
LD,16,8101,4790
LD,17,2994,5991
MH,1,0,0
MH,2,0,0
MH,3,0,0
MH,4,0,0
MH,5,0,0
MH,6,0,0
MH,7,0,0
MH,8,0,0
MH,9,0,0
MH,10,0,0
MH,11,0,0
MH,12,1360020,412152
MH,13,8025758,673740
MH,14,5533220,3045171
MH,15,5454522,1104239
MH,16,8530876,3131039
MH,17,6825817,4447181
ML,1,0,0
ML,2,0,0
ML,3,0,0
ML,4,0,0
ML,5,0,0
ML,6,0,0
ML,7,0,0
ML,8,0,0
ML,9,0,0
ML,10,0,0
ML,11,0,0
ML,12,44754,10887
ML,13,58768,30087
ML,14,205148,32809
ML,15,120522,855
ML,16,304421,32211
ML,17,222281,150419
MN,1,0,0
MN,2,0,0
MN,3,0,0
MN,4,0,0
MN,5,0,0
MN,6,0,0
MN,7,0,0
MN,8,0,0
MN,9,0,0
MN,10,0,0
MN,11,0,0
MN,12,48543,9873
MN,13,27012,36457
MN,14,203571,23092
MN,15,171710,1975
MN,16,380325,22933
MN,17,321441,171851
MP,1,0,0
MP,2,0,0
MP,3,0,0
MP,4,0,0
MP,5,0,0
MP,6,0,0
MP,7,0,0
MP,8,0,0
MP,9,0,0
MP,10,0,0
MP,11,0,0
MP,12,516063,334836
MP,13,5137730,349818
MP,14,1201519,948782
MP,15,5043016,357523
MP,16,8206172,1922389
MP,17,11011671,2180277
MZ,1,0,0
MZ,2,0,0
MZ,3,0,0
MZ,4,0,0
MZ,5,0,0
MZ,6,0,0
MZ,7,0,0
MZ,8,0,0
MZ,9,0,0
MZ,10,0,0
MZ,11,0,0
MZ,12,31208,9177
MZ,13,47091,14394
MZ,14,127768,21947
MZ,15,58255,1120
MZ,16,273475,54924
MZ,17,57212,95621
NL,1,0,0
NL,2,0,0
NL,3,0,0
NL,4,0,0
NL,5,0,0
NL,6,0,0
NL,7,0,0
NL,8,0,0
NL,9,0,0
NL,10,0,0
NL,11,0,0
NL,12,29837,9121
NL,13,60016,19933
NL,14,82721,22510
NL,15,115248,737
NL,16,231579,52282
NL,17,110803,63234
OR,1,0,0
OR,2,0,0
OR,3,0,0
OR,4,0,0
OR,5,0,0
OR,6,0,0
OR,7,0,0
OR,8,0,0
OR,9,0,0
OR,10,0,0
OR,11,0,0
OR,12,447210,270029
OR,13,3183859,264802
OR,14,1237379,861386
OR,15,2177163,257686
OR,16,3588258,1167221
OR,17,4015112,1653797
PB,1,0,0
PB,2,0,0
PB,3,0,0
PB,4,0,0
PB,5,0,0
PB,6,0,0
PB,7,0,0
PB,8,0,0
PB,9,0,0
PB,10,0,0
PB,11,0,0
PB,12,204795,64839
PB,13,1603850,196110
PB,14,1573538,473026
PB,15,949702,112621
PB,16,1916051,610684
PB,17,2066095,1061291
PY,1,0,0
PY,2,0,0
PY,3,0,0
PY,4,0,0
PY,5,0,0
PY,6,0,0
PY,7,0,0
PY,8,0,0
PY,9,0,0
PY,10,0,0
PY,11,0,0
PY,12,17513,3357
PY,13,93402,60814
PY,14,59877,1319
PY,15,95225,60
PY,16,215756,53268
PY,17,102823,33222
RJ,1,0,0
RJ,2,0,0
RJ,3,0,0
RJ,4,0,0
RJ,5,0,0
RJ,6,0,0
RJ,7,0,0
RJ,8,0,0
RJ,9,0,0
RJ,10,0,0
RJ,11,0,0
RJ,12,1730984,427516
RJ,13,6491292,763376
RJ,14,2920745,1693289
RJ,15,4436508,354228
RJ,16,5702680,1741818
RJ,17,6144210,3833614
SK,1,0,0
SK,2,0,0
SK,3,0,0
SK,4,0,0
SK,5,0,0
SK,6,0,0
SK,7,0,0
SK,8,0,0
SK,9,0,0
SK,10,0,0
SK,11,0,0
SK,12,31074,7585
SK,13,85416,9660
SK,14,41587,42338
SK,15,60281,253
SK,16,224637,65751
SK,17,49792,32455
TG,1,0,0
TG,2,0,0
TG,3,0,0
TG,4,0,0
TG,5,0,0
TG,6,0,0
TG,7,0,0
TG,8,0,0
TG,9,0,0
TG,10,0,0
TG,11,0,0
TG,12,254667,205766
TG,13,1664622,115018
TG,14,2322291,740403
TG,15,2365848,285999
TG,16,3889567,784202
TG,17,1366493,2018389
TN,1,0,0
TN,2,0,0
TN,3,0,0
TN,4,0,0
TN,5,0,0
TN,6,0,0
TN,7,0,0
TN,8,0,0
TN,9,0,0
TN,10,0,0
TN,11,0,0
TN,12,888615,120563
TN,13,2399406,338593
TN,14,1423396,1365511
TN,15,3723216,290994
TN,16,6267887,1016364
TN,17,6326064,1625945
TR,1,0,0
TR,2,0,0
TR,3,0,0
TR,4,0,0
TR,5,0,0
TR,6,0,0
TR,7,0,0
TR,8,0,0
TR,9,0,0
TR,10,0,0
TR,11,0,0
TR,12,71420,47242
TR,13,614049,50626
TR,14,233325,407488
TR,15,184097,11308
TR,16,944962,156028
TR,17,324319,153760
UP,1,0,0
UP,2,0,0
UP,3,0,0
UP,4,0,0
UP,5,0,0
UP,6,0,0
UP,7,0,0
UP,8,0,0
UP,9,0,0
UP,10,0,0
UP,11,0,0
UP,12,1182124,621447
UP,13,6559212,800355
UP,14,2985106,1758456
UP,15,8012266,656357
UP,16,13062798,2334818
UP,17,15582272,3008708
UT,1,0,0
UT,2,0,0
UT,3,0,0
UT,4,0,0
UT,5,0,0
UT,6,0,0
UT,7,0,0
UT,8,0,0
UT,9,0,0
UT,10,0,0
UT,11,0,0
UT,12,146971,85924
UT,13,970154,117498
UT,14,708635,472322
UT,15,733711,29633
UT,16,1297162,350423
UT,17,1527648,666244
WB,1,0,0
WB,2,0,0
WB,3,0,0
WB,4,0,0
WB,5,0,0
WB,6,0,0
WB,7,0,0
WB,8,0,0
WB,9,0,0
WB,10,0,0
WB,11,0,0
WB,12,1634082,380735
WB,13,5676090,715275
WB,14,1661422,2816788
WB,15,5490405,415058
WB,16,4859954,2985988
WB,17,7323877,2645012
